Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Speculation Ratio,Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.),options/futures,open,high,low ,close
2016-11-07,NIFTY,117482,8811150,7520.87,1331264,99844800,85910.45,93431.32,21403.01,4.36533553,8338.86,8072500,10869000.33,11.42294043,8535.75,8535.85,8481.45,8497.05
2016-11-08,NIFTY,121525,9114375,7788.21,1717857,128839275,110816.94,118605.15,19450.5,6.097794401,8090.27,7408026,10914644.03,14.22880739,8540,8559.4,8480.1,8543.55
2016-11-09,NIFTY,486756,36506700,30339.24,6097451,457308825,385708.34,416047.58,34064.9,12.21338034,16960.67,11395682,10732043.27,12.71318398,8067.5,8476.2,8002.25,8432
2016-11-10,NIFTY,196066,14704950,12612.87,2972894,222967050,190933.39,203546.26,27197.28,7.484066789,12383.54,9671657,10896197.46,15.13798128,8555.6,8598.45,8510.7,8525.75
2016-11-11,NIFTY,262423,19681725,16529.07,3936764,295257300,251355.67,267884.74,26089.22,10.26802411,11622.11,9716464,10580104.77,15.2068852,8456.65,8460.6,8284.95,8296.3
2016-11-15,NIFTY,275206,20640450,16910.15,4100277,307520775,257539.88,274450.03,32457.78,8.455600784,13657.6,12482466,10260299.26,15.2298992,8284.85,8288.55,8093.2,8108.45
2016-11-16,NIFTY,212308,15923100,12998.86,3152268,236420100,196095.46,209094.32,26142.52,7.998246535,10662.85,10446495,10276935.25,15.08558904,8205.65,8210.05,8089.4,8111.6
2016-11-17,NIFTY,182053,13653975,11091.57,2850048,213753600,176212.71,187304.28,18261.94,10.25653791,8087.36,8441399,10239052.52,15.88708452,8105.1,8151.25,8060.3,8079.95
2016-11-18,NIFTY,175060,13129500,10632.52,3093839,232037925,190530.95,201163.47,17640.79,11.40331414,8135.1,8291734,10258692.87,17.91964182,8097.55,8128.95,8048.3,8074.1
2016-11-21,NIFTY,292236,21917700,17509.49,5002632,375197400,305606.05,323115.54,19467.27,16.59788661,9657.7,8798209,10038928.07,17.45373794,8102.1,8102.45,7916.4,7929.1
2016-11-22,NIFTY,262165,19662375,15709.17,4164389,312329175,253017.26,268726.43,18359.6,14.63683468,8828.41,8120495,10152838.84,16.10634171,7989.15,8019.05,7938.15,8002.3
2016-11-23,NIFTY,279245,20943375,16814.67,4472531,335439825,271965.47,288780.14,18594.61,15.53031443,8620.97,7993364,10248791.84,16.17429721,8051.2,8055.2,7973.1,8033.3
2016-11-24,NIFTY,407105,30532875,24428.98,6288963,471672225,380571.46,405000.44,23742.81,17.05781413,10978.91,8164736,10215840.87,15.5786881,8011.8,8024.85,7952.55,7965.5
2016-11-25,NIFTY,166791,12509325,10108.57,1368201,102615075,83716.49,93825.06,18845.14,4.978740407,8809.93,8416812,10413314.54,8.281734212,8007.95,8122.25,7976.75,8114.3
2016-11-28,NIFTY,124883,9366225,7626.3,1072018,80401350,65969.41,73595.71,17895.86,4.112443325,8627.53,7938861,10474130.21,8.650251105,8080.65,8146.5,8066.5,8126.9
2016-11-29,NIFTY,140290,10521750,8620.21,1432992,107474400,88347.14,96967.35,18689.5,5.188333021,9005.39,8521846,10512940.93,10.24883849,8131.55,8197.35,8128.7,8142.15
2016-11-30,NIFTY,146488,10986600,9033.91,1222700,91702500,75453.38,84487.29,31536.06,2.679069294,13040.83,10424440,10618011.78,8.352239506,8172.15,8234.25,8139.25,8224.5
2016-12-01,NIFTY,109388,8204100,6757.95,1090375,81778125,67516.53,74274.48,17353.97,4.27997052,8888.2,7580311,10553007.95,9.990682086,8244,8250.8,8185.05,8192.9
2016-12-02,NIFTY,166507,12488025,10172.11,1593245,119493375,98396.88,108568.99,16805.41,6.460359491,8337.41,7769790,10420336.96,9.673202512,8153.55,8159.3,8070.05,8086.8
2016-12-05,NIFTY,130990,9824250,7989.05,1407300,105547500,86502.34,94491.39,14419.37,6.553087271,6782.88,6677184,10473398.41,10.8276128,8088.75,8141.9,8056.85,8128.75
