Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2024-07-24,BANKNIFTY,400117,6001755,30885.46,784920514,11773807710,60582396.60,60613282.06,137297.85,48861.42,44622376,44557661.49
2024-07-24,FINNIFTY,4420,110500,256.63,7342929,183573225,431238.11,431494.74,137297.85,48861.42,44622376,44557661.49
2024-07-24,MIDCPNIFTY,33086,1654300,2054.66,5218888,260944400,325221.77,327276.43,137297.85,48861.42,44622376,44557661.49
2024-07-24,NIFTY,637663,15941575,38942.41,138815012,3470375300,8496930.48,8535872.89,137297.85,48861.42,44622376,44557661.49
2024-07-24,NIFTYNXT50,636,6360,45.81,41119,411190,3333.89,3379.70,137297.85,48861.42,44622376,44557661.49
2024-07-25,BANKNIFTY,238710,3580650,18258.29,53719044,805785660,4113433.49,4131691.78,129363.37,52534.28,43365700,44590743.49
2024-07-25,FINNIFTY,3279,81975,188.90,7223692,180592300,418290.74,418479.64,129363.37,52534.28,43365700,44590743.49
2024-07-25,MIDCPNIFTY,34803,1740150,2161.89,9698036,484901800,604714.31,606876.20,129363.37,52534.28,43365700,44590743.49
2024-07-25,NIFTY,755727,18893175,46066.66,640385066,16009626650,39003496.93,39049563.59,129363.37,52534.28,43365700,44590743.49
2024-07-25,NIFTYNXT50,1291,12910,92.94,94903,949030,7541.28,7634.22,129363.37,52534.28,43365700,44590743.49
2024-07-26,BANKNIFTY,221749,3326235,17007.37,71673588,1075103820,5503235.05,5520242.42,136773.3,64183.69,43750917,45293041.71
2024-07-26,FINNIFTY,2896,72400,168.14,14631545,365788625,850823.56,850991.70,136773.3,64183.69,43750917,45293041.71
2024-07-26,MIDCPNIFTY,33415,1670750,2114.40,19694946,984747300,1244768.30,1246882.70,136773.3,64183.69,43750917,45293041.71
2024-07-26,NIFTY,450169,11254225,27867.37,87960937,2199023425,5427314.58,5455181.95,136773.3,64183.69,43750917,45293041.71
2024-07-26,NIFTYNXT50,1679,16790,122.81,1830872,18308720,136838.56,136961.37,136773.3,64183.69,43750917,45293041.71
2024-07-29,BANKNIFTY,392229,5883435,30516.38,152386999,2285804985,11849404.35,11879920.73,148104.16,60444.16,46062455,45578651.24
2024-07-29,FINNIFTY,8674,216850,508.39,50626666,1265666650,2970476.10,2970984.49,148104.16,60444.16,46062455,45578651.24
2024-07-29,MIDCPNIFTY,45788,2289400,2938.26,198273705,9913685250,12705638.26,12708576.52,148104.16,60444.16,46062455,45578651.24
2024-07-29,NIFTY,309309,7732725,19306.21,96797256,2419931400,6023215.36,6042521.57,148104.16,60444.16,46062455,45578651.24
2024-07-29,NIFTYNXT50,633,6330,46.94,1119,11190,83.04,129.98,148104.16,60444.16,46062455,45578651.24
2024-07-30,BANKNIFTY,224408,3366120,17413.30,145632013,2184480195,11294601.15,11312014.45,136557.36,50493.59,44268683,45682580.86
2024-07-30,FINNIFTY,23864,596600,1398.38,567066065,14176651625,33225739.24,33227137.62,136557.36,50493.59,44268683,45682580.86
2024-07-30,MIDCPNIFTY,13106,655300,845.36,2940727,147036350,190783.40,191628.76,136557.36,50493.59,44268683,45682580.86
