Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2018-05-24,BANKNIFTY,90272,3610880,9305.91,11187745,447509800,1154713.53,1164019.44,28863.34,13268.62,10481860,14380046.83
2018-05-24,NIFTY,147431,11057325,11574.62,2879202,215940150,227280.32,238854.94,28863.34,13268.62,10481860,14380046.83
2018-05-24,NIFTYIT,763,38150,52.26,0,0,0.00,52.26,28863.34,13268.62,10481860,14380046.83
2018-05-25,BANKNIFTY,80927,3237080,8467.87,2471624,98864960,258211.22,266679.09,30928.78,13602.1,12093661,14551426.77
2018-05-25,NIFTY,174184,13063800,13836.81,3726754,279506550,296040.96,309877.77,30928.78,13602.1,12093661,14551426.77
2018-05-25,NIFTYIT,847,42350,58.69,0,0,0.00,58.69,30928.78,13602.1,12093661,14551426.77
2018-05-25,NIFTYMID50,1,200,0.10,0,0,0.00,0.10,30928.78,13602.1,12093661,14551426.77
2018-05-28,BANKNIFTY,76337,3053480,8091.29,3295686,131827440,348273.02,356364.31,30128.42,14205.37,11263802,14705586.77
2018-05-28,NIFTY,139753,10481475,11192.33,3041118,228083850,243470.95,254663.28,30128.42,14205.37,11263802,14705586.77
2018-05-28,NIFTYIT,795,39750,53.68,0,0,0.00,53.68,30128.42,14205.37,11263802,14705586.77
2018-05-28,NIFTYMID50,1,200,0.10,0,0,0.00,0.10,30128.42,14205.37,11263802,14705586.77
2018-05-29,BANKNIFTY,106340,4253600,11199.85,4300456,172018240,454251.26,465451.11,30346.75,15095.12,11326063,14668950.12
2018-05-29,NIFTY,234157,17561775,18710.18,4236386,317728950,339630.88,358341.06,30346.75,15095.12,11326063,14668950.12
2018-05-29,NIFTYIT,387,19350,26.15,0,0,0.00,26.15,30346.75,15095.12,11326063,14668950.12
2018-05-29,NIFTYMID50,2961,592200,299.43,0,0,0.00,299.43,30346.75,15095.12,11326063,14668950.12
2018-05-30,BANKNIFTY,168969,6758760,17668.14,6743909,269756360,707011.21,724679.35,30221.98,15682.63,11703776,14651643.57
2018-05-30,NIFTY,266186,19963950,21144.65,5513317,413498775,439867.12,461011.77,30221.98,15682.63,11703776,14651643.57
2018-05-30,NIFTYIT,344,17200,23.22,0,0,0.00,23.22,30221.98,15682.63,11703776,14651643.57
2018-05-30,NIFTYMID50,2958,591600,299.47,0,0,0.00,299.47,30221.98,15682.63,11703776,14651643.57
2018-05-31,BANKNIFTY,204026,8161040,21726.31,10959444,438377760,1163639.17,1185365.48,59237.57,25895.16,15150626,14693260.03
2018-05-31,NIFTY,318019,23851425,25460.65,5065105,379882875,405242.14,430702.79,59237.57,25895.16,15150626,14693260.03
2018-05-31,NIFTYCPSE,0,0,0.00,3,750,0.18,0.18,59237.57,25895.16,15150626,14693260.03
2018-05-31,NIFTYIT,1468,73400,99.85,0,0,0.00,99.85,59237.57,25895.16,15150626,14693260.03
2018-06-01,BANKNIFTY,104116,4164640,11131.39,2575125,103005000,276665.71,287797.10,29523.11,16590.79,10724055,14573929.4
2018-06-01,NIFTY,114633,8597475,9206.35,1460323,109524225,118050.07,127256.42,29523.11,16590.79,10724055,14573929.4
2018-06-01,NIFTYIT,292,14600,19.88,0,0,0.00,19.88,29523.11,16590.79,10724055,14573929.4
2018-06-04,BANKNIFTY,122117,4884680,12899.25,3870585,154823400,412953.65,425852.90,28487.49,12482.71,10493947,14427471.31
2018-06-04,NIFTY,133284,9996300,10640.34,1500246,112518450,121008.91,131649.25,28487.49,12482.71,10493947,14427471.31
2018-06-04,NIFTYIT,263,13150,17.78,0,0,0.00,17.78,28487.49,12482.71,10493947,14427471.31
2018-06-05,BANKNIFTY,101562,4062480,10649.59,3684989,147399560,389197.47,399847.06,27802.38,15096.91,11947253,14273557.47
2018-06-05,NIFTY,118955,8921625,9446.97,1477523,110814225,118523.87,127970.84,27802.38,15096.91,11947253,14273557.47
2018-06-05,NIFTYIT,454,22700,30.51,0,0,0.00,30.51,27802.38,15096.91,11947253,14273557.47
2018-06-05,NIFTYMID50,5,1000,0.49,0,0,0.00,0.49,27802.38,15096.91,11947253,14273557.47
2018-06-06,BANKNIFTY,120325,4813000,12658.65,5646250,225850000,596088.12,608746.77,27089.21,15365.75,11580849,14443614.06
2018-06-06,NIFTY,139731,10479825,11155.86,1613248,120993600,129440.26,140596.12,27089.21,15365.75,11580849,14443614.06
2018-06-06,NIFTYIT,374,18700,25.11,0,0,0.00,25.11,27089.21,15365.75,11580849,14443614.06
2018-06-06,NIFTYMID50,1,200,0.10,0,0,0.00,0.10,27089.21,15365.75,11580849,14443614.06
2018-06-07,BANKNIFTY,131495,5259800,14021.02,14700215,588008600,1567845.63,1581866.65,29490.98,15294.33,10883812,14609208.49
2018-06-07,NIFTY,128152,9611400,10355.12,1750343,131275725,141251.51,151606.63,29490.98,15294.33,10883812,14609208.49
2018-06-07,NIFTYIT,260,13000,17.68,0,0,0.00,17.68,29490.98,15294.33,10883812,14609208.49
2018-06-07,NIFTYMID50,3,600,0.30,0,0,0.00,0.30,29490.98,15294.33,10883812,14609208.49
2018-06-08,BANKNIFTY,83937,3357480,8854.68,2408008,96320320,255272.16,264126.84,28512.79,13150.44,10448649,14656416.27
2018-06-08,NIFTY,118129,8859675,9500.84,1581268,118595100,127622.63,137123.47,28512.79,13150.44,10448649,14656416.27
2018-06-08,NIFTYIT,287,14350,19.67,0,0,0.00,19.67,28512.79,13150.44,10448649,14656416.27
2018-06-08,NIFTYMID50,1,200,0.10,0,0,0.00,0.10,28512.79,13150.44,10448649,14656416.27
2018-06-11,BANKNIFTY,74390,2975600,7903.23,2971167,118846680,315647.60,323550.83,26706.03,12553.7,10405096,14702297.59
2018-06-11,NIFTY,99676,7475700,8076.57,1562109,117158175,126857.47,134934.04,26706.03,12553.7,10405096,14702297.59
2018-06-11,NIFTYIT,226,11300,15.51,0,0,0.00,15.51,26706.03,12553.7,10405096,14702297.59
2018-06-11,NIFTYMID50,1,200,0.10,0,0,0.00,0.10,26706.03,12553.7,10405096,14702297.59
2018-06-12,BANKNIFTY,78215,3128600,8309.21,3600578,144023120,382827.72,391136.93,27770.94,13014.71,10811731,14790850.69
2018-06-12,NIFTY,103242,7743150,8380.01,1525364,114402300,123799.14,132179.15,27770.94,13014.71,10811731,14790850.69
2018-06-12,NIFTYIT,406,20300,28.02,0,0,0.00,28.02,27770.94,13014.71,10811731,14790850.69
2018-06-12,NIFTYMID50,2,400,0.20,0,0,0.00,0.20,27770.94,13014.71,10811731,14790850.69
2018-06-13,BANKNIFTY,72913,2916520,7777.55,4374699,174987960,466587.27,474364.82,29082.3,13170.64,10561263,14792661.96
2018-06-13,NIFTY,84592,6344400,6885.20,1380981,103573575,112281.41,119166.61,29082.3,13170.64,10561263,14792661.96
2018-06-13,NIFTYIT,411,20550,28.66,0,0,0.00,28.66,29082.3,13170.64,10561263,14792661.96
2018-06-13,NIFTYMID50,5,1000,0.51,0,0,0.00,0.51,29082.3,13170.64,10561263,14792661.96
2018-06-14,BANKNIFTY,82596,3303840,8775.83,11129709,445188360,1184728.57,1193504.40,26350.92,12004.58,9516649,14745723.83
2018-06-14,NIFTY,106681,8001075,8643.82,1593136,119485200,128916.77,137560.59,26350.92,12004.58,9516649,14745723.83
2018-06-14,NIFTYIT,288,14400,19.97,0,0,0.00,19.97,26350.92,12004.58,9516649,14745723.83
2018-06-14,NIFTYMID50,7,1400,0.70,0,0,0.00,0.70,26350.92,12004.58,9516649,14745723.83
2018-06-14,NIFTYPSE,1,200,0.07,0,0,0.00,0.07,26350.92,12004.58,9516649,14745723.83
2018-06-15,BANKNIFTY,90120,3604800,9528.22,2550990,102039600,270714.09,280242.31,37545.88,14463.6,12495453,14716449.46
2018-06-15,NIFTY,157282,11796150,12729.95,2401730,180129750,194562.04,207291.99,37545.88,14463.6,12495453,14716449.46
2018-06-15,NIFTYIT,470,23500,32.92,0,0,0.00,32.92,37545.88,14463.6,12495453,14716449.46
2018-06-15,NIFTYMID50,8,1600,0.80,0,0,0.00,0.80,37545.88,14463.6,12495453,14716449.46
2018-06-18,BANKNIFTY,52009,2080360,5487.16,2353735,94149400,248789.06,254276.22,23184.81,10825.69,8931233,14673991.91
2018-06-18,NIFTY,79744,5980800,6458.15,1442792,108209400,117025.56,123483.71,23184.81,10825.69,8931233,14673991.91
2018-06-18,NIFTYIT,298,14900,20.98,0,0,0.00,20.98,23184.81,10825.69,8931233,14673991.91
2018-06-18,NIFTYMID50,3,600,0.30,0,0,0.00,0.30,23184.81,10825.69,8931233,14673991.91
2018-06-18,NIFTYPSE,1,200,0.08,0,0,0.00,0.08,23184.81,10825.69,8931233,14673991.91
2018-06-19,BANKNIFTY,83105,3324200,8734.87,3455360,138214400,364170.18,372905.05,26499.4,13137.46,10508185,14531693.13
2018-06-19,NIFTY,131141,9835575,10552.59,2287001,171525075,185031.25,195583.84,26499.4,13137.46,10508185,14531693.13
2018-06-19,NIFTYIT,358,17900,24.89,0,0,0.00,24.89,26499.4,13137.46,10508185,14531693.13
2018-06-19,NIFTYMID50,5,1000,0.50,0,0,0.00,0.50,26499.4,13137.46,10508185,14531693.13
2018-06-20,BANKNIFTY,94773,3790920,10040.69,5867638,234705520,621103.71,631144.40,25095.71,12163.57,10106790,14572227.92
2018-06-20,NIFTY,121366,9102450,9801.04,1912835,143462625,154695.07,164496.11,25095.71,12163.57,10106790,14572227.92
2018-06-20,NIFTYIT,104,5200,7.21,0,0,0.00,7.21,25095.71,12163.57,10106790,14572227.92
2018-06-20,NIFTYMID50,2,400,0.20,0,0,0.00,0.20,25095.71,12163.57,10106790,14572227.92
2018-06-21,BANKNIFTY,92677,3707080,9845.43,13872717,554908680,1475576.18,1485421.61,24978.06,11130.69,10226255,14504009.19
2018-06-21,NIFTY,111835,8387625,9025.61,2089014,156676050,169187.40,178213.01,24978.06,11130.69,10226255,14504009.19
2018-06-21,NIFTYIT,171,8550,11.82,0,0,0.00,11.82,24978.06,11130.69,10226255,14504009.19
2018-06-21,NIFTYMID50,6,1200,0.59,0,0,0.00,0.59,24978.06,11130.69,10226255,14504009.19
2018-06-22,BANKNIFTY,93726,3749040,9966.16,3239737,129589480,344587.27,354553.43,26822.92,10953.85,10013331,14565986.94
2018-06-22,NIFTY,140610,10545750,11367.72,2927751,219581325,236729.16,248096.88,26822.92,10953.85,10013331,14565986.94
2018-06-22,NIFTYIT,179,8950,12.34,0,0,0.00,12.34,26822.92,10953.85,10013331,14565986.94
2018-06-22,NIFTYMID50,9,1800,0.89,0,0,0.00,0.89,26822.92,10953.85,10013331,14565986.94
2018-06-25,BANKNIFTY,80453,3218120,8585.32,3331758,133270320,355572.78,364158.10,24461.16,10723.52,9139298,14464042.91
2018-06-25,NIFTY,183423,13756725,14837.96,3059397,229454775,248397.88,263235.84,24461.16,10723.52,9139298,14464042.91
2018-06-25,NIFTYIT,196,9800,13.59,0,0,0.00,13.59,24461.16,10723.52,9139298,14464042.91
2018-06-25,NIFTYMID50,2,400,0.20,0,0,0.00,0.20,24461.16,10723.52,9139298,14464042.91
2018-06-26,BANKNIFTY,90309,3612360,9607.16,4268388,170735520,454830.74,464437.90,26079.58,11788.81,10039176,14452278.04
2018-06-26,NIFTY,222197,16664775,17945.89,3587561,269067075,290696.29,308642.18,26079.58,11788.81,10039176,14452278.04
2018-06-26,NIFTYIT,230,11500,16.01,0,0,0.00,16.01,26079.58,11788.81,10039176,14452278.04
2018-06-26,NIFTYMID50,4174,592790,291.95,0,0,0.00,291.95,26079.58,11788.81,10039176,14452278.04
2018-06-27,BANKNIFTY,151191,6047640,15989.14,5737180,229487200,608296.06,624285.20,28959.7,14112.21,11211375,14268490.04
2018-06-27,NIFTY,289753,21731475,23260.48,5224566,391842450,422235.22,445495.70,28959.7,14112.21,11211375,14268490.04
2018-06-27,NIFTYIT,557,27850,39.14,0,0,0.00,39.14,28959.7,14112.21,11211375,14268490.04
2018-06-27,NIFTYMID50,4168,591680,286.49,0,0,0.00,286.49,28959.7,14112.21,11211375,14268490.04
2018-06-28,BANKNIFTY,162592,6503680,17112.50,11085843,443433720,1170550.29,1187662.79,37876.38,18458.69,11416567,14105313.78
2018-06-28,NIFTY,401405,30105375,31945.43,6510074,488255550,522231.98,554177.41,37876.38,18458.69,11416567,14105313.78
2018-06-28,NIFTYIT,1924,96200,134.11,0,0,0.00,134.11,37876.38,18458.69,11416567,14105313.78
2018-06-28,NIFTYMID50,6,1200,0.58,0,0,0.00,0.58,37876.38,18458.69,11416567,14105313.78
2018-06-29,BANKNIFTY,76416,3056640,8060.77,2197872,87914880,232491.40,240552.17,29376.44,13723.71,11044526,14329071.96
2018-06-29,NIFTY,141134,10585050,11292.16,1290664,96799800,104101.20,115393.36,29376.44,13723.71,11044526,14329071.96
2018-06-29,NIFTYIT,347,17350,24.17,0,0,0.00,24.17,29376.44,13723.71,11044526,14329071.96
2018-06-29,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,29376.44,13723.71,11044526,14329071.96
2018-07-02,BANKNIFTY,81967,3278680,8589.94,3287211,131488440,346763.13,355353.07,28641.58,14765.63,10028225,14249089.67
2018-07-02,NIFTY,126816,9511200,10122.85,1445263,108394725,116432.78,126555.63,28641.58,14765.63,10028225,14249089.67
2018-07-02,NIFTYIT,206,10300,14.44,0,0,0.00,14.44,28641.58,14765.63,10028225,14249089.67
2018-07-02,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,28641.58,14765.63,10028225,14249089.67
2018-07-03,BANKNIFTY,78895,3155800,8288.31,3515948,140637920,370267.33,378555.64,24545.32,11565.3,9553684,14317945.13
2018-07-03,NIFTY,122419,9181425,9823.23,1407012,105525900,113503.80,123327.03,24545.32,11565.3,9553684,14317945.13
2018-07-03,NIFTYIT,335,16750,23.71,0,0,0.00,23.71,24545.32,11565.3,9553684,14317945.13
2018-07-03,NIFTYMID50,2,220,0.11,0,0,0.00,0.11,24545.32,11565.3,9553684,14317945.13
2018-07-04,BANKNIFTY,95553,3822120,10049.74,6316110,252644400,665252.49,675302.23,25099.64,10985.44,9092612,14370714.3
2018-07-04,NIFTY,114264,8569800,9194.55,1350938,101320350,109125.64,118320.19,25099.64,10985.44,9092612,14370714.3
2018-07-04,NIFTYIT,203,10150,14.35,0,0,0.00,14.35,25099.64,10985.44,9092612,14370714.3
2018-07-04,NIFTYMID50,2,220,0.11,0,0,0.00,0.11,25099.64,10985.44,9092612,14370714.3
2018-07-05,BANKNIFTY,84569,3382760,8966.86,12396134,495845360,1315527.02,1324493.88,26064.32,11392.68,9076471,14332633.17
2018-07-05,NIFTY,89647,6723525,7236.14,1183404,88755300,95738.44,102974.58,26064.32,11392.68,9076471,14332633.17
2018-07-05,NIFTYIT,374,18700,26.17,0,0,0.00,26.17,26064.32,11392.68,9076471,14332633.17
2018-07-05,NIFTYMID50,5,550,0.27,0,0,0.00,0.27,26064.32,11392.68,9076471,14332633.17
2018-07-06,BANKNIFTY,58367,2334680,6191.20,2116690,84667600,224921.25,231112.45,28712.09,12435.38,10248840,14403906.25
2018-07-06,NIFTY,110228,8267100,8915.60,1584017,118801275,128608.27,137523.87,28712.09,12435.38,10248840,14403906.25
2018-07-06,NIFTYIT,182,9100,12.74,0,0,0.00,12.74,28712.09,12435.38,10248840,14403906.25
2018-07-06,NIFTYMID50,8,880,0.43,0,0,0.00,0.43,28712.09,12435.38,10248840,14403906.25
2018-07-09,BANKNIFTY,62392,2495680,6660.85,2473983,98959320,263600.29,270261.14,24397.4,12094.41,9172836,14541744.7
2018-07-09,NIFTY,91272,6845400,7426.19,1272013,95400975,103556.23,110982.42,24397.4,12094.41,9172836,14541744.7
2018-07-09,NIFTYIT,205,10250,14.44,0,0,0.00,14.44,24397.4,12094.41,9172836,14541744.7
2018-07-09,NIFTYMID50,5,550,0.27,0,0,0.00,0.27,24397.4,12094.41,9172836,14541744.7
2018-07-10,BANKNIFTY,58814,2352560,6319.71,3208326,128333040,344138.16,350457.87,27678.65,13136.35,10596357,14672085.5
2018-07-10,NIFTY,110803,8310225,9080.07,1606715,120503625,131514.06,140594.13,27678.65,13136.35,10596357,14672085.5
2018-07-10,NIFTYIT,299,14950,21.28,0,0,0.00,21.28,27678.65,13136.35,10596357,14672085.5
2018-07-10,NIFTYMID50,1,110,0.06,0,0,0.00,0.06,27678.65,13136.35,10596357,14672085.5
2018-07-11,BANKNIFTY,67205,2688200,7205.12,4841512,193660480,519619.38,526824.50,30291.4,13402.94,10564973,14655032.31
2018-07-11,NIFTY,107372,8052900,8809.69,1593377,119503275,130542.62,139352.31,30291.4,13402.94,10564973,14655032.31
2018-07-11,NIFTYIT,578,28900,41.78,0,0,0.00,41.78,30291.4,13402.94,10564973,14655032.31
2018-07-11,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,30291.4,13402.94,10564973,14655032.31
2018-07-12,BANKNIFTY,97188,3887520,10519.55,12755251,510210040,1380411.84,1390931.39,30463.8,13889.98,11034310,14691944.68
2018-07-12,NIFTY,138105,10357875,11428.21,2193799,164534925,181135.80,192564.01,30463.8,13889.98,11034310,14691944.68
2018-07-12,NIFTYIT,310,15500,22.47,0,0,0.00,22.47,30463.8,13889.98,11034310,14691944.68
2018-07-12,NIFTYMID50,2,220,0.11,0,0,0.00,0.11,30463.8,13889.98,11034310,14691944.68
2018-07-13,BANKNIFTY,66043,2641720,7126.86,2543393,101735720,274766.92,281893.78,29592.72,14671.67,10370598,14631611.01
2018-07-13,NIFTY,113347,8501025,9370.94,1826887,137016525,151140.76,160511.70,29592.72,14671.67,10370598,14631611.01
2018-07-13,NIFTYIT,318,15900,23.14,0,0,0.00,23.14,29592.72,14671.67,10370598,14631611.01
2018-07-13,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,29592.72,14671.67,10370598,14631611.01
2018-07-16,BANKNIFTY,72283,2891320,7749.97,2639565,105582600,284102.68,291852.65,27765.97,13198.4,10232503,14419300.13
2018-07-16,NIFTY,108915,8168625,8968.27,1900510,142538250,156767.78,165736.05,27765.97,13198.4,10232503,14419300.13
2018-07-16,NIFTYIT,542,27100,39.65,0,0,0.00,39.65,27765.97,13198.4,10232503,14419300.13
2018-07-16,NIFTYMID50,4,440,0.21,0,0,0.00,0.21,27765.97,13198.4,10232503,14419300.13
2018-07-17,BANKNIFTY,85039,3401560,9157.61,4094493,163779720,440136.77,449294.38,28288.38,15729.5,10790611,14552447.79
2018-07-17,NIFTY,125864,9439800,10376.41,2066750,155006250,170336.77,180713.18,28288.38,15729.5,10790611,14552447.79
2018-07-17,NIFTYIT,217,10850,15.87,0,0,0.00,15.87,28288.38,15729.5,10790611,14552447.79
2018-07-17,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,28288.38,15729.5,10790611,14552447.79
2018-07-18,BANKNIFTY,115978,4639120,12558.48,7439393,297575720,805810.80,818369.28,29630.86,15358.23,11246426,14478986.81
2018-07-18,NIFTY,148437,11132775,12260.82,2879755,215981625,237322.51,249583.33,29630.86,15358.23,11246426,14478986.81
2018-07-18,NIFTYIT,199,9950,14.57,0,0,0.00,14.57,29630.86,15358.23,11246426,14478986.81
2018-07-18,NIFTYMID50,2,220,0.11,0,0,0.00,0.11,29630.86,15358.23,11246426,14478986.81
2018-07-19,BANKNIFTY,93110,3724400,10028.49,13910752,556430080,1499566.95,1509595.44,27888.39,13560.73,10517502,14422039.46
2018-07-19,NIFTY,123733,9279975,10188.62,2079981,155998575,171065.66,181254.28,27888.39,13560.73,10517502,14422039.46
2018-07-19,NIFTYIT,201,10050,14.56,0,0,0.00,14.56,27888.39,13560.73,10517502,14422039.46
2018-07-19,NIFTYMID50,3,330,0.16,0,0,0.00,0.16,27888.39,13560.73,10517502,14422039.46
2018-07-20,BANKNIFTY,61654,2466160,6634.57,1803172,72126880,194230.98,200865.55,29179.54,12605.4,10247600,14502276.14
2018-07-20,NIFTY,121268,9095100,10019.46,2019463,151459725,166734.09,176753.55,29179.54,12605.4,10247600,14502276.14
2018-07-20,NIFTYIT,404,20200,29.62,0,0,0.00,29.62,29179.54,12605.4,10247600,14502276.14
2018-07-20,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,29179.54,12605.4,10247600,14502276.14
2018-07-23,BANKNIFTY,76676,3067040,8269.98,2631939,105277560,283993.21,292263.19,31562.17,14606.69,10878107,14633213.11
2018-07-23,NIFTY,139146,10435950,11550.38,2514663,188599725,207857.84,219408.22,31562.17,14606.69,10878107,14633213.11
2018-07-23,NIFTYIT,241,12050,17.60,0,0,0.00,17.60,31562.17,14606.69,10878107,14633213.11
2018-07-23,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,31562.17,14606.69,10878107,14633213.11
2018-07-24,BANKNIFTY,93108,3724320,10079.55,3640858,145634320,394070.23,404149.78,34563.31,18103.16,12537359,14798442.79
2018-07-24,NIFTY,225337,16900275,18830.22,3104187,232814025,258215.10,277045.32,34563.31,18103.16,12537359,14798442.79
2018-07-24,NIFTYIT,210,10500,15.36,0,0,0.00,15.36,34563.31,18103.16,12537359,14798442.79
2018-07-24,NIFTYMID50,5382,592020,287.24,0,0,0.00,287.24,34563.31,18103.16,12537359,14798442.79
2018-07-25,BANKNIFTY,75083,3003320,8128.06,3826754,153070160,414053.49,422181.55,32393.16,15632.29,11553009,14789584.28
2018-07-25,NIFTY,203109,15233175,16989.19,3112729,233454675,259468.92,276458.11,32393.16,15632.29,11553009,14789584.28
2018-07-25,NIFTYIT,298,14900,21.71,0,0,0.00,21.71,32393.16,15632.29,11553009,14789584.28
2018-07-25,NIFTYMID50,5376,591360,289.86,0,0,0.00,289.86,32393.16,15632.29,11553009,14789584.28
2018-07-26,BANKNIFTY,142446,5697840,15553.42,10300943,412037720,1121826.45,1137379.87,43977.3,18122.58,12785844,14834352.32
2018-07-26,NIFTY,307995,23099625,25819.91,4502310,337673250,376148.24,401968.15,43977.3,18122.58,12785844,14834352.32
2018-07-26,NIFTYIT,1345,67250,97.52,0,0,0.00,97.52,43977.3,18122.58,12785844,14834352.32
2018-07-26,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,43977.3,18122.58,12785844,14834352.32
2018-07-27,BANKNIFTY,58207,2328280,6423.39,1811891,72475640,198882.45,205305.84,33484.75,15494.21,11174505,14963897.77
2018-07-27,NIFTY,101135,7585125,8551.40,1149519,86213925,97063.95,105615.35,33484.75,15494.21,11174505,14963897.77
2018-07-27,NIFTYIT,103,5150,7.50,0,0,0.00,7.50,33484.75,15494.21,11174505,14963897.77
2018-07-27,NIFTYMID50,2,220,0.11,0,0,0.00,0.11,33484.75,15494.21,11174505,14963897.77
2018-07-30,BANKNIFTY,68459,2738360,7598.75,2855382,114215280,315580.62,323179.37,33654.43,15606.27,11480783,15063126.91
2018-07-30,NIFTY,87716,6578700,7447.12,938980,70423500,79789.60,87236.72,33654.43,15606.27,11480783,15063126.91
2018-07-30,NIFTYIT,167,8350,12.09,0,0,0.00,12.09,33654.43,15606.27,11480783,15063126.91
2018-07-30,NIFTYMID50,2,220,0.11,0,0,0.00,0.11,33654.43,15606.27,11480783,15063126.91
2018-07-31,BANKNIFTY,58887,2355480,6543.91,2884020,115360800,319645.68,326189.59,34992.24,17038.49,11998544,15128449.08
2018-07-31,NIFTY,85879,6440925,7299.65,965430,72407250,82049.46,89349.11,34992.24,17038.49,11998544,15128449.08
2018-07-31,NIFTYIT,322,16100,23.41,0,0,0.00,23.41,34992.24,17038.49,11998544,15128449.08
2018-07-31,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,34992.24,17038.49,11998544,15128449.08
2018-08-01,BANKNIFTY,93540,3741600,10365.31,6162047,246481880,683299.60,693664.91,33806.18,16142.82,12071738,15165026.12
2018-08-01,NIFTY,105331,7899825,8987.77,1172484,87936300,99979.33,108967.10,33806.18,16142.82,12071738,15165026.12
2018-08-01,NIFTYIT,127,6350,9.32,0,0,0.00,9.32,33806.18,16142.82,12071738,15165026.12
2018-08-01,NIFTYMID50,3,330,0.17,0,0,0.00,0.17,33806.18,16142.82,12071738,15165026.12
2018-08-02,BANKNIFTY,72164,2886560,7930.92,11264713,450588520,1237855.18,1245786.10,30888.61,14337.67,11203255,15090310.96
2018-08-02,NIFTY,100397,7529775,8512.69,1099743,82480725,93634.39,102147.08,30888.61,14337.67,11203255,15090310.96
2018-08-02,NIFTYIT,119,5950,8.72,0,0,0.00,8.72,30888.61,14337.67,11203255,15090310.96
2018-08-02,NIFTYMID50,1,110,0.06,0,0,0.00,0.06,30888.61,14337.67,11203255,15090310.96
2018-08-03,BANKNIFTY,66049,2641960,7310.32,2397148,95885920,264190.17,271500.49,32614.32,16158.49,11025931,15227786.15
2018-08-03,NIFTY,96799,7259925,8250.65,1131215,84841125,96164.56,104415.21,32614.32,16158.49,11025931,15227786.15
2018-08-03,NIFTYIT,88,4400,6.45,0,0,0.00,6.45,32614.32,16158.49,11025931,15227786.15
2018-08-03,NIFTYMID50,1,110,0.05,0,0,0.00,0.05,32614.32,16158.49,11025931,15227786.15
2018-08-06,BANKNIFTY,59116,2364640,6612.26,3050859,122034360,339697.12,346309.38,32611.57,14764.46,10694402,15306433.98
2018-08-06,NIFTY,66588,4994100,5703.02,1033710,77528250,88293.52,93996.54,32611.57,14764.46,10694402,15306433.98
2018-08-06,NIFTYIT,99,4950,7.26,0,0,0.00,7.26,32611.57,14764.46,10694402,15306433.98
2018-08-06,NIFTYMID50,4,440,0.22,0,0,0.00,0.22,32611.57,14764.46,10694402,15306433.98
2018-08-07,BANKNIFTY,48867,1954680,5459.86,3174617,126984680,354003.24,359463.10,32458.52,16438.35,11324083,15276755.06
2018-08-07,NIFTY,74275,5570625,6358.07,1007163,75537225,86117.97,92476.04,32458.52,16438.35,11324083,15276755.06
2018-08-07,NIFTYIT,376,18800,27.54,0,0,0.00,27.54,32458.52,16438.35,11324083,15276755.06
2018-08-08,BANKNIFTY,76049,3041960,8538.71,6785935,271437400,759652.16,768190.87,31854.34,15682.09,11369745,15327757.6
2018-08-08,NIFTY,94517,7088775,8116.97,1313527,98514525,112299.75,120416.72,31854.34,15682.09,11369745,15327757.6
2018-08-08,NIFTYIT,102,5100,7.46,0,0,0.00,7.46,31854.34,15682.09,11369745,15327757.6
2018-08-08,NIFTYMID50,1,110,0.06,0,0,0.00,0.06,31854.34,15682.09,11369745,15327757.6
2018-08-09,BANKNIFTY,76357,3054280,8641.98,12803460,512138400,1445778.98,1454420.96,34903.22,20071.48,11397787,15369688.14
2018-08-09,NIFTY,65589,4919175,5650.44,1056150,79211250,90361.83,96012.27,34903.22,20071.48,11397787,15369688.14
2018-08-09,NIFTYIT,79,3950,5.79,0,0,0.00,5.79,34903.22,20071.48,11397787,15369688.14
2018-08-09,NIFTYMID50,1,110,0.06,0,0,0.00,0.06,34903.22,20071.48,11397787,15369688.14
2018-08-10,BANKNIFTY,70991,2839640,8022.69,2826564,113062560,319495.77,327518.46,33596.48,16331.46,11059149,15292314.69
2018-08-10,NIFTY,81986,6148950,7043.28,1093313,81998475,93881.31,100924.59,33596.48,16331.46,11059149,15292314.69
2018-08-10,NIFTYIT,81,4050,5.95,0,0,0.00,5.95,33596.48,16331.46,11059149,15292314.69
2018-08-10,NIFTYMID50,2,220,0.11,0,0,0.00,0.11,33596.48,16331.46,11059149,15292314.69
2018-08-13,BANKNIFTY,78612,3144480,8771.62,3790931,151637240,423912.56,432684.18,29316.77,14777.46,10666136,15173095.27
2018-08-13,NIFTY,110418,8281350,9431.00,1509048,113178600,129225.15,138656.15,29316.77,14777.46,10666136,15173095.27
