Date,Symbol,No of Contracts Traded,Traded Quantity,Total Traded Value (Rs. In Crs.)
2023-02-14,BANKNIFTY,65103508,1627587700,6771791.99
2023-02-14,FINNIFTY,115453513,4618140520,8558197.52
2023-02-14,MIDCPNIFTY,4678,350850,297.38
2023-02-14,NIFTY,43236000,2161800000,3869956.74
2023-02-15,BANKNIFTY,95145557,2378638925,9920183.23
2023-02-15,FINNIFTY,2461510,98460400,183063.41
2023-02-15,NIFTY,72612117,3630605850,6515884.15
2023-02-16,BANKNIFTY,209243277,5231081925,21909596.40
2023-02-16,FINNIFTY,3488740,139549600,260779.10
2023-02-16,NIFTY,129715156,6485757800,11726303.72
2023-02-17,BANKNIFTY,62090984,1552274600,6449212.77
2023-02-17,FINNIFTY,18089123,723564920,1339365.39
2023-02-17,NIFTY,46426701,2321335050,4186062.62
2023-02-20,BANKNIFTY,73143923,1828598075,7557255.47
2023-02-20,FINNIFTY,42154295,1686171800,3108129.63
2023-02-20,MIDCPNIFTY,1,75,0.06
2023-02-20,NIFTY,48662386,2433119300,4379965.96
2023-02-21,BANKNIFTY,81396275,2034906875,8349299.23
2023-02-21,FINNIFTY,141994960,5679798400,10394880.68
2023-02-21,MIDCPNIFTY,2016,151200,127.72
2023-02-21,NIFTY,49559506,2477975300,4447306.37
2023-02-22,BANKNIFTY,110180000,2754500000,11169739.58
2023-02-22,FINNIFTY,2861987,114479480,207495.54
2023-02-22,NIFTY,81096732,4054836600,7203822.53
2023-02-23,BANKNIFTY,268130244,6703256100,26881777.91
2023-02-23,FINNIFTY,3877379,155095160,279284.72
2023-02-23,NIFTY,145904164,7295208200,12847008.40
2023-02-24,BANKNIFTY,60137728,1503443200,6066244.88
2023-02-24,FINNIFTY,17350532,694021280,1248634.67
2023-02-24,NIFTY,44684960,2234248000,3942572.14
2023-02-27,BANKNIFTY,73646509,1841162725,7415848.47
2023-02-27,FINNIFTY,40172318,1606892720,2884705.91
2023-02-27,NIFTY,55813723,2790686150,4886527.78
2023-02-28,BANKNIFTY,71538122,1788453050,7231028.63
2023-02-28,FINNIFTY,136202600,5448104000,9814851.82
2023-02-28,MIDCPNIFTY,2666,199950,167.92
2023-02-28,NIFTY,59510745,2975537250,5199381.14
2023-03-01,BANKNIFTY,98725689,2468142225,10019807.83
2023-03-01,FINNIFTY,3450171,138006840,250298.42
2023-03-01,MIDCPNIFTY,1,75,0.06
2023-03-01,NIFTY,70222406,3511120300,6133094.52
2023-03-02,BANKNIFTY,223606809,5590170225,22700176.99
2023-03-02,FINNIFTY,5516705,220668200,399753.85
2023-03-02,NIFTY,128186115,6409305750,11164322.01
2023-03-03,BANKNIFTY,69790448,1744761200,7187421.97
2023-03-03,FINNIFTY,34072275,1362891000,2485476.36
2023-03-03,NIFTY,50524116,2526205800,4442208.71
2023-03-06,BANKNIFTY,76087589,1902189725,7906666.63
2023-03-06,FINNIFTY,129335543,5173421720,9518680.01
2023-03-06,MIDCPNIFTY,2551,191325,159.36
2023-03-06,NIFTY,52460235,2623011750,4656266.64
2023-03-08,BANKNIFTY,106230078,2655751950,10987423.37
2023-03-08,FINNIFTY,3202539,128101560,234930.93
2023-03-08,NIFTY,80954391,4047719550,7160117.59
2023-03-09,BANKNIFTY,228016028,5700400700,23656315.33
2023-03-09,FINNIFTY,4838426,193537040,355613.10
2023-03-09,NIFTY,142141781,7107089050,12577430.92
2023-03-10,BANKNIFTY,62233360,1555834000,6357540.94
2023-03-10,FINNIFTY,22010635,880425400,1587388.47
2023-03-10,MIDCPNIFTY,2,150,0.12
2023-03-10,NIFTY,47897390,2394869500,4196484.48
2023-03-13,BANKNIFTY,99871306,2496782650,10107973.23
2023-03-13,FINNIFTY,57247450,2289898000,4102324.75
2023-03-13,NIFTY,76638838,3831941900,6678940.35
2023-03-14,BANKNIFTY,101667409,2541685225,10103595.15
2023-03-14,FINNIFTY,179364635,7174585400,12631905.58
2023-03-14,MIDCPNIFTY,880,66000,55.67
2023-03-14,NIFTY,69565855,3478292750,5992931.45
2023-03-15,BANKNIFTY,134929836,3373245900,13415291.44
2023-03-15,FINNIFTY,4132300,165292000,293136.97
2023-03-15,NIFTY,91173658,4558682900,7841753.31
2023-03-16,BANKNIFTY,316593644,7914841100,30999075.11
2023-03-16,FINNIFTY,5518327,220733080,387292.22
2023-03-16,NIFTY,184461690,9223084500,15703037.53
2023-03-17,BANKNIFTY,69141008,1728525200,6837424.54
2023-03-17,FINNIFTY,28206485,1128259400,1983192.98
2023-03-17,NIFTY,56350628,2817531400,4837703.46
2023-03-20,BANKNIFTY,79189373,1979734325,7810558.30
2023-03-20,FINNIFTY,55915093,2236603720,3923798.54
2023-03-20,MIDCPNIFTY,2,150,0.13
2023-03-20,NIFTY,62095832,3104791600,5299058.21
2023-03-21,BANKNIFTY,74776905,1869422625,7428760.82
2023-03-21,FINNIFTY,176385688,7055427520,12500871.76
2023-03-21,MIDCPNIFTY,2548,191100,160.89
2023-03-21,NIFTY,52390313,2619515650,4480889.76
2023-03-22,BANKNIFTY,87061383,2176534575,8720941.17
2023-03-22,FINNIFTY,2333138,93325520,167229.78
2023-03-22,NIFTY,63752250,3187612500,5473715.02
2023-03-23,BANKNIFTY,289063311,7226582775,28901717.04
2023-03-23,FINNIFTY,4806723,192268920,343027.14
2023-03-23,NIFTY,150313480,7515674000,12890885.18
2023-03-24,BANKNIFTY,67935735,1698393375,6759085.90
2023-03-24,FINNIFTY,26417613,1056704520,1875319.43
2023-03-24,NIFTY,53577083,2678854150,4592019.25
2023-03-27,BANKNIFTY,83248367,2081209175,8242383.76
2023-03-27,FINNIFTY,54210285,2168411400,3833842.02
2023-03-27,NIFTY,66123507,3306175350,5650324.40
2023-03-28,BANKNIFTY,80291411,2007285275,7953067.92
2023-03-28,FINNIFTY,158123619,6324944760,11170474.59
2023-03-28,MIDCPNIFTY,3892,291900,246.32
2023-03-28,NIFTY,59748482,2987424100,5097795.78
2023-03-29,BANKNIFTY,251824223,6295605575,25026934.09
2023-03-29,FINNIFTY,4340916,173636640,308871.80
2023-03-29,NIFTY,145915032,7295751600,12436226.12
2023-03-31,BANKNIFTY,57573609,1439340225,5834037.80
2023-03-31,FINNIFTY,28704462,1148178480,2066664.02
2023-03-31,NIFTY,47984533,2399226650,4156895.49
2023-04-03,BANKNIFTY,55675480,1391887000,5667942.76
2023-04-03,FINNIFTY,123084960,4923398400,8919079.82
2023-04-03,MIDCPNIFTY,973,72975,61.40
2023-04-03,NIFTY,49185035,2459251750,4274795.63
2023-04-05,BANKNIFTY,86153457,2153836425,8832773.92
2023-04-05,FINNIFTY,4600123,184004920,337335.00
2023-04-05,NIFTY,82084268,4104213400,7170899.78
2023-04-06,BANKNIFTY,248930337,6223258425,25580095.18
2023-04-06,FINNIFTY,7576116,303044640,558466.26
2023-04-06,NIFTY,149177805,7458890250,13108309.29
2023-04-10,BANKNIFTY,65894422,1647360550,6780604.57
2023-04-10,FINNIFTY,46762657,1870506280,3452589.78
2023-04-10,MIDCPNIFTY,4,300,0.26
2023-04-10,NIFTY,49800300,2490015000,4398368.75
2023-04-11,BANKNIFTY,73264659,1831616475,7562873.17
2023-04-11,FINNIFTY,153058662,6122346480,11362030.86
2023-04-11,MIDCPNIFTY,702,52650,44.22
2023-04-11,NIFTY,53250661,2662533050,4716670.84
2023-04-12,BANKNIFTY,83438044,2085951100,8660195.80
2023-04-12,FINNIFTY,3467256,138690240,259161.43
2023-04-12,MIDCPNIFTY,2,150,0.11
2023-04-12,NIFTY,79468204,3973410200,7061869.30
2023-04-13,BANKNIFTY,275318540,6882963500,28733190.06
2023-04-13,FINNIFTY,8042240,321689600,602794.72
2023-04-13,NIFTY,147502269,7375113450,13120660.27
2023-04-17,BANKNIFTY,87920485,2198012125,9276037.91
2023-04-17,FINNIFTY,56579176,2263167040,4259538.82
2023-04-17,NIFTY,59365612,2968280600,5270258.71
2023-04-18,BANKNIFTY,87756647,2193916175,9294356.83
2023-04-18,FINNIFTY,193161122,7726444880,14547788.63
2023-04-18,MIDCPNIFTY,3090,231750,195.98
2023-04-18,NIFTY,59076409,2953820450,5239615.60
2023-04-19,BANKNIFTY,114288475,2857211875,12062999.84
2023-04-19,FINNIFTY,3080859,123234360,231794.52
2023-04-19,NIFTY,81823992,4091199600,7237713.36
2023-04-20,BANKNIFTY,253866695,6346667375,26809677.51
2023-04-20,FINNIFTY,4351931,174077240,327039.87
2023-04-20,NIFTY,141835265,7091763250,12525037.31
2023-04-21,BANKNIFTY,62379774,1559494350,6597318.41
2023-04-21,FINNIFTY,20911431,836457240,1571908.81
2023-04-21,NIFTY,44992175,2249608750,3981723.93
2023-04-24,BANKNIFTY,75428340,1885708500,8015217.33
2023-04-24,FINNIFTY,52640067,2105602680,3981711.28
2023-04-24,NIFTY,53970487,2698524350,4777779.32
2023-04-25,BANKNIFTY,74962868,1874071700,8027268.43
2023-04-25,FINNIFTY,185808280,7432331200,14126267.86
2023-04-25,MIDCPNIFTY,332,24900,20.32
2023-04-25,NIFTY,48295713,2414785650,4289657.68
2023-04-26,BANKNIFTY,119410802,2985270050,12753726.95
2023-04-26,FINNIFTY,4294742,171789680,326150.92
2023-04-26,MIDCPNIFTY,7,525,0.41
2023-04-26,NIFTY,80509476,4025473800,7156380.46
2023-04-27,BANKNIFTY,254036606,6350915150,27252402.39
2023-04-27,FINNIFTY,6133530,245341200,466385.70
2023-04-27,NIFTY,123258966,6162948300,10998668.79
2023-04-28,BANKNIFTY,57434191,1435854385,6194630.94
2023-04-28,FINNIFTY,38051220,1522048800,2904297.09
2023-04-28,MIDCPNIFTY,4,300,0.22
2023-04-28,NIFTY,48302057,2415102850,4345777.52
2023-05-02,BANKNIFTY,61816194,1545391810,6711243.80
2023-05-02,FINNIFTY,150637017,6025480680,11589045.45
2023-05-02,MIDCPNIFTY,10,750,0.55
2023-05-02,NIFTY,47251289,2362564450,4286187.86
2023-05-03,BANKNIFTY,104728313,2618192645,11318922.18
2023-05-03,FINNIFTY,4207952,168318080,323101.85
2023-05-03,MIDCPNIFTY,2970,222750,175.20
2023-05-03,NIFTY,76466151,3823307550,6928116.89
2023-05-04,BANKNIFTY,222188133,5554685315,24131578.36
2023-05-04,FINNIFTY,9047412,361896480,697637.71
2023-05-04,MIDCPNIFTY,4,300,0.22
2023-05-04,NIFTY,140505800,7025290000,12755274.55
2023-05-05,BANKNIFTY,90161512,2253998270,9772750.98
2023-05-05,FINNIFTY,40070554,1602822160,3081564.27
2023-05-05,MIDCPNIFTY,7,525,0.39
2023-05-05,NIFTY,61133111,3056655550,5567535.77
2023-05-08,BANKNIFTY,91124972,2278102120,9882027.68
2023-05-08,FINNIFTY,66198930,2647957200,5107288.02
2023-05-08,MIDCPNIFTY,9,675,0.50
2023-05-08,NIFTY,56791335,2839566750,5182262.92
2023-05-09,BANKNIFTY,86613306,2165314990,9426440.29
2023-05-09,FINNIFTY,202206010,8088240400,15653996.15
2023-05-09,MIDCPNIFTY,97,7275,5.49
2023-05-09,NIFTY,52494342,2624717100,4805500.70
2023-05-10,BANKNIFTY,159452085,3986267665,17244750.47
2023-05-10,FINNIFTY,6284096,251363840,483953.59
2023-05-10,MIDCPNIFTY,7257,544275,407.28
2023-05-10,NIFTY,87788027,4389401350,8022316.33
2023-05-11,BANKNIFTY,277171737,6929245465,30165027.97
2023-05-11,FINNIFTY,5488075,219523000,424099.93
2023-05-11,MIDCPNIFTY,2,150,0.11
2023-05-11,NIFTY,142261219,7113060950,13033543.82
2023-05-12,BANKNIFTY,66024434,1650550450,7201857.25
2023-05-12,FINNIFTY,23434805,937392200,1821163.46
2023-05-12,MIDCPNIFTY,9,675,0.50
2023-05-12,NIFTY,44204514,2210225700,4046214.85
2023-05-15,BANKNIFTY,63393356,1584750300,6962201.06
2023-05-15,FINNIFTY,39676337,1587053480,3097842.41
2023-05-15,MIDCPNIFTY,21,1575,1.15
2023-05-15,NIFTY,45409570,2270478500,4167954.85
2023-05-16,BANKNIFTY,77610614,1940223530,8532097.03
2023-05-16,FINNIFTY,177767559,7110702360,13876140.68
2023-05-16,MIDCPNIFTY,41,3075,2.34
2023-05-16,NIFTY,50943621,2547181050,4683486.60
2023-05-17,BANKNIFTY,136208178,3405111420,14915913.21
2023-05-17,FINNIFTY,3763475,150539000,292853.74
2023-05-17,MIDCPNIFTY,22401,1680075,1262.05
2023-05-17,NIFTY,99896439,4994821950,9131496.61
2023-05-18,BANKNIFTY,299441559,7485967215,32918067.69
2023-05-18,FINNIFTY,5531222,221248880,431190.30
2023-05-18,MIDCPNIFTY,2,150,0.11
2023-05-18,NIFTY,166149516,8307475800,15158883.90
2023-05-19,BANKNIFTY,73341440,1833428920,8055700.28
2023-05-19,FINNIFTY,27410871,1096434840,2126032.76
2023-05-19,MIDCPNIFTY,8,600,0.46
2023-05-19,NIFTY,60104916,3005245800,5471873.69
2023-05-22,BANKNIFTY,81056886,2026316430,8924013.71
2023-05-22,FINNIFTY,53323327,2132933080,4141475.11
2023-05-22,MIDCPNIFTY,5,375,0.29
2023-05-22,NIFTY,63243163,3162158150,5780437.41
2023-05-23,BANKNIFTY,62591364,1564678990,6905413.02
2023-05-23,FINNIFTY,157263678,6290547120,12228354.89
2023-05-23,MIDCPNIFTY,194,14550,11.15
2023-05-23,NIFTY,48952936,2447646800,4491945.18
2023-05-24,BANKNIFTY,118043172,2950963710,12970482.69
2023-05-24,FINNIFTY,3515796,140631840,273490.40
2023-05-24,MIDCPNIFTY,171437,12857775,9781.86
2023-05-24,NIFTY,95761747,4788087350,8780329.85
2023-05-25,BANKNIFTY,267802960,6694902870,29243864.44
2023-05-25,FINNIFTY,5316465,212658600,409984.74
2023-05-25,NIFTY,163314324,8165716200,14935983.32
2023-05-26,BANKNIFTY,55157812,1378595560,6057524.17
2023-05-26,FINNIFTY,23332513,933300520,1804050.39
2023-05-26,MIDCPNIFTY,2,150,0.12
2023-05-26,NIFTY,53818176,2690908800,4958390.70
2023-05-29,BANKNIFTY,57723312,1442676850,6402151.80
2023-05-29,FINNIFTY,50971501,2038860040,3986636.34
2023-05-29,MIDCPNIFTY,4,300,0.24
2023-05-29,NIFTY,55731391,2786569550,5166379.97
2023-05-30,BANKNIFTY,62739224,1568263460,6954378.95
2023-05-30,FINNIFTY,179048930,7161957200,14003638.91
2023-05-30,MIDCPNIFTY,1613,120975,94.28
2023-05-30,NIFTY,52724746,2636237300,4901708.20
2023-05-31,BANKNIFTY,132694747,3316808785,14671157.38
2023-05-31,FINNIFTY,5265051,210602040,412051.88
2023-05-31,MIDCPNIFTY,628274,47120550,36739.79
2023-05-31,NIFTY,92665882,4633294100,8604832.18
2023-06-01,BANKNIFTY,258818814,6470071730,28553823.45
2023-06-01,FINNIFTY,7268956,290758240,567509.72
2023-06-01,MIDCPNIFTY,2,150,0.12
2023-06-01,NIFTY,143328150,7166407500,13302735.66
2023-06-02,BANKNIFTY,63473454,1586390890,7006575.85
2023-06-02,FINNIFTY,30808855,1232354200,2396708.25
2023-06-02,MIDCPNIFTY,10,750,0.60
2023-06-02,NIFTY,53490594,2674529700,4972203.67
2023-06-05,BANKNIFTY,55706875,1392251755,6166063.20
2023-06-05,FINNIFTY,45351982,1814079280,3539560.50
2023-06-05,MIDCPNIFTY,12,900,0.71
2023-06-05,NIFTY,40926245,2046312250,3810602.16
2023-06-06,BANKNIFTY,56520683,1412690525,6247242.83
2023-06-06,FINNIFTY,156826984,6273079360,12207488.31
2023-06-06,MIDCPNIFTY,4532,339900,266.76
2023-06-06,NIFTY,49728488,2486424400,4629422.20
2023-06-07,BANKNIFTY,83336557,2082989235,9221306.66
2023-06-07,FINNIFTY,3346854,133874160,262484.08
2023-06-07,MIDCPNIFTY,1812310,135923250,107534.22
2023-06-07,NIFTY,74462475,3723123750,6947840.40
2023-06-08,BANKNIFTY,276702735,6916850405,30635887.46
2023-06-08,FINNIFTY,6455469,258218760,506475.10
2023-06-08,MIDCPNIFTY,49,3675,2.93
2023-06-08,NIFTY,161069946,8053497300,15068602.00
2023-06-09,BANKNIFTY,60660492,1515793070,6706170.18
2023-06-09,FINNIFTY,28042832,1121713280,2186505.22
2023-06-09,MIDCPNIFTY,1803,135225,107.18
2023-06-09,NIFTY,52826274,2641313700,4935583.91
2023-06-12,BANKNIFTY,50463758,1261012700,5569566.53
2023-06-12,FINNIFTY,42993298,1719731920,3346970.30
2023-06-12,MIDCPNIFTY,4661,349575,276.76
2023-06-12,NIFTY,44694016,2234700800,4168541.63
2023-06-13,BANKNIFTY,52129071,1302645745,5756167.08
2023-06-13,FINNIFTY,154198226,6167929040,12002910.73
2023-06-13,MIDCPNIFTY,36274,2720550,2173.40
2023-06-13,NIFTY,40205235,2010261750,3758241.74
2023-06-14,BANKNIFTY,81397100,2034355610,8998312.36
2023-06-14,FINNIFTY,3128815,125152600,244867.68
2023-06-14,MIDCPNIFTY,3838064,287854800,230558.62
2023-06-14,NIFTY,63451999,3172599950,5938781.43
2023-06-15,BANKNIFTY,272651732,6814538770,29893082.85
2023-06-15,FINNIFTY,7188018,287520720,559411.11
2023-06-15,MIDCPNIFTY,1859,139425,110.77
2023-06-15,NIFTY,169273331,8463666550,15858022.28
2023-06-16,BANKNIFTY,59958717,1496859375,6574542.56
2023-06-16,FINNIFTY,32247165,1289886600,2506273.57
2023-06-16,MIDCPNIFTY,4698,352350,285.06
2023-06-16,NIFTY,51927540,2596377000,4883418.57
2023-06-19,BANKNIFTY,87930673,2196317875,9642015.76
2023-06-19,FINNIFTY,79915993,3196639720,6216607.27
2023-06-19,MIDCPNIFTY,8841,663075,537.79
2023-06-19,NIFTY,54278662,2713933100,5115374.72
2023-06-20,BANKNIFTY,80705658,2015227040,8812789.10
2023-06-20,FINNIFTY,207131763,8285270520,16083804.24
2023-06-20,MIDCPNIFTY,60527,4539525,3678.01
2023-06-20,NIFTY,59743953,2987197650,5611703.07
2023-06-21,BANKNIFTY,117373130,2932382120,12857841.69
2023-06-21,FINNIFTY,5945134,237805360,467373.35
2023-06-21,MIDCPNIFTY,12718006,953850450,782130.66
2023-06-21,NIFTY,84989053,4249452650,8005216.87
2023-06-22,BANKNIFTY,309572892,7736257740,33937430.42
2023-06-22,FINNIFTY,9126072,365042880,717716.43
2023-06-22,MIDCPNIFTY,7815,586125,476.45
2023-06-22,NIFTY,182911377,9145568850,17228991.66
2023-06-23,BANKNIFTY,66568697,1658520115,7262903.32
2023-06-23,FINNIFTY,33375321,1335012840,2618211.95
2023-06-23,MIDCPNIFTY,54504,4087800,3304.21
2023-06-23,NIFTY,58276600,2913830000,5466748.63
2023-06-26,BANKNIFTY,63617879,1585257725,6932602.29
2023-06-26,FINNIFTY,52587246,2103489840,4111408.64
2023-06-26,MIDCPNIFTY,427907,32093025,25847.65
2023-06-26,NIFTY,55217547,2760877350,5168552.08
2023-06-27,BANKNIFTY,85720721,2135993335,9347528.98
2023-06-27,FINNIFTY,222954460,8918178400,17542678.69
2023-06-27,MIDCPNIFTY,4222841,316713075,255954.62
2023-06-27,NIFTY,56305852,2815292600,5271401.39
2023-06-28,BANKNIFTY,297833184,7432970600,32918293.41
2023-06-28,FINNIFTY,7496713,299868520,594164.00
2023-06-28,MIDCPNIFTY,2777,208275,169.18
2023-06-28,NIFTY,177756568,8887828400,16821266.29
2023-06-30,BANKNIFTY,59479302,1472818500,6587737.28
2023-06-30,FINNIFTY,27708707,1108348280,2217618.69
2023-06-30,MIDCPNIFTY,52150,3911250,3220.52
2023-06-30,NIFTY,48259667,2412983350,4605297.29
2023-07-03,BANKNIFTY,82580960,2048282660,9253224.80
2023-07-03,FINNIFTY,92445843,3697833720,7507747.24
2023-07-03,MIDCPNIFTY,103453,7758975,6417.74
2023-07-03,NIFTY,60671144,3033557200,5849360.64
2023-07-04,BANKNIFTY,100725760,2500440050,11326185.60
2023-07-04,FINNIFTY,306869245,12274769800,25088478.15
2023-07-04,MIDCPNIFTY,216196,16214700,13329.28
2023-07-04,NIFTY,56777916,2838895800,5485568.69
2023-07-05,BANKNIFTY,126397317,3149348525,14246456.02
2023-07-05,FINNIFTY,5938398,237535920,483472.53
2023-07-05,MIDCPNIFTY,19065071,1429880325,1178556.46
2023-07-05,NIFTY,81169581,4058479050,7862049.84
2023-07-06,BANKNIFTY,282411236,7047680540,31898701.93
2023-07-06,FINNIFTY,7285646,291425840,592162.48
2023-07-06,MIDCPNIFTY,25507,1913025,1591.08
2023-07-06,NIFTY,168806483,8440324150,16392632.79
2023-07-07,BANKNIFTY,69149643,1709923075,7740843.70
2023-07-07,FINNIFTY,33617837,1344713480,2718669.07
2023-07-07,MIDCPNIFTY,126623,9496725,7878.53
2023-07-07,NIFTY,63931730,3196586500,6230355.94
2023-07-10,BANKNIFTY,80840314,2005246990,9052342.25
2023-07-10,FINNIFTY,74626484,2985059360,6011109.68
2023-07-10,MIDCPNIFTY,142716,10703700,8860.09
2023-07-10,NIFTY,61463373,3073168650,5971470.51
2023-07-11,BANKNIFTY,69776504,1729526030,7812435.28
2023-07-11,FINNIFTY,244505321,9780212840,19689018.95
2023-07-11,MIDCPNIFTY,359057,26929275,22325.94
2023-07-11,NIFTY,50221526,2511076300,4889651.18
2023-07-12,BANKNIFTY,119529327,2968889345,13345641.60
2023-07-12,FINNIFTY,6306110,252244400,507241.37
2023-07-12,MIDCPNIFTY,24039817,1802986275,1496996.68
2023-07-12,NIFTY,91822820,4591141000,8944642.53
2023-07-13,BANKNIFTY,286870957,7148910425,32108103.59
2023-07-13,FINNIFTY,8390420,335616800,675590.67
2023-07-13,MIDCPNIFTY,27515,2063625,1720.68
2023-07-13,NIFTY,190598357,9529917850,18585738.24
2023-07-14,BANKNIFTY,67490994,1658811250,7450279.54
2023-07-14,FINNIFTY,39220781,1568831240,3150268.67
2023-07-14,MIDCPNIFTY,140186,10513950,8732.11
2023-07-14,NIFTY,60852855,3042642750,5940124.99
2023-07-17,BANKNIFTY,96191112,2353906240,10597114.42
2023-07-17,FINNIFTY,89723637,3588945480,7233152.20
2023-07-17,MIDCPNIFTY,276710,20753250,17377.42
2023-07-17,NIFTY,56186218,2809310900,5499707.32
2023-07-18,BANKNIFTY,112945281,2752747875,12559831.67
2023-07-18,FINNIFTY,317768446,12710737840,25842214.90
2023-07-18,MIDCPNIFTY,411307,30848025,25787.60
2023-07-18,NIFTY,61842355,3092117750,6100718.26
2023-07-19,BANKNIFTY,124236279,3048883715,13906833.78
2023-07-19,FINNIFTY,4184593,167383720,341422.92
2023-07-19,MIDCPNIFTY,22520339,1689025425,1418155.35
2023-07-19,NIFTY,98997797,4949889850,9793608.13
2023-07-20,BANKNIFTY,297440329,7251512095,33270593.70
2023-07-20,FINNIFTY,7680559,307222360,627150.47
2023-07-20,MIDCPNIFTY,42795,3209625,2686.56
2023-07-20,NIFTY,199417994,9970899700,19796545.74
2023-07-21,BANKNIFTY,102399591,1535993865,7090100.30
2023-07-21,FINNIFTY,34905362,1396214480,2875587.08
2023-07-21,MIDCPNIFTY,97842,7338150,6194.86
2023-07-21,NIFTY,62619044,3130952200,6230421.84
2023-07-24,BANKNIFTY,111225641,1668384615,7709482.42
2023-07-24,FINNIFTY,75915486,3036619440,6248560.55
2023-07-24,MIDCPNIFTY,219486,16461450,13913.94
2023-07-24,NIFTY,66031778,3301588900,6542616.54
2023-07-25,BANKNIFTY,108817741,1632266115,7531139.61
2023-07-25,FINNIFTY,265279301,10611172040,21789147.91
2023-07-25,MIDCPNIFTY,509647,38223525,32254.99
2023-07-25,NIFTY,53294155,2664707750,5273711.33
2023-07-26,BANKNIFTY,162958809,2444382135,11281027.61
2023-07-26,FINNIFTY,4685866,187434640,387070.66
2023-07-26,MIDCPNIFTY,26686541,2001490575,1693579.30
2023-07-26,NIFTY,84046335,4202316750,8327570.55
2023-07-27,BANKNIFTY,490543150,7358147250,33851294.08
2023-07-27,FINNIFTY,8230444,329217760,680712.80
2023-07-27,MIDCPNIFTY,39243,2943225,2504.77
2023-07-27,NIFTY,217940410,10897020500,21565778.91
2023-07-28,BANKNIFTY,88293231,1324398465,6055838.08
2023-07-28,FINNIFTY,31368400,1254736000,2557521.98
2023-07-28,MIDCPNIFTY,137568,10317600,8752.86
2023-07-28,NIFTY,53721963,2686098150,5306779.98
2023-07-31,BANKNIFTY,81966071,1229491065,5617366.35
2023-07-31,FINNIFTY,63329512,2533180480,5160367.30
2023-07-31,MIDCPNIFTY,740587,55544025,47634.38
2023-07-31,NIFTY,53942754,2697137700,5329069.36
2023-08-01,BANKNIFTY,96218708,1443280620,6609241.21
2023-08-01,FINNIFTY,243173772,9726950880,19793051.12
2023-08-01,MIDCPNIFTY,1369163,102687225,88251.06
2023-08-01,NIFTY,51004809,2550240450,5046143.98
2023-08-02,BANKNIFTY,220899360,3313490400,15010545.96
2023-08-02,FINNIFTY,6197114,247884560,501342.45
2023-08-02,MIDCPNIFTY,44444186,3333313950,2827657.76
2023-08-02,NIFTY,110155376,5507768800,10816893.82
2023-08-03,BANKNIFTY,505502681,7582540215,33934585.78
2023-08-03,FINNIFTY,9376495,375059800,752043.83
2023-08-03,MIDCPNIFTY,177743,13330725,11405.62
2023-08-03,NIFTY,225429300,11271465000,21937826.64
2023-08-04,BANKNIFTY,142324318,2134864770,9615749.01
2023-08-04,FINNIFTY,44946408,1797856320,3597438.28
2023-08-04,MIDCPNIFTY,435117,32633775,27987.07
2023-08-04,NIFTY,60180096,3009004800,5881462.64
2023-08-07,BANKNIFTY,115489383,1732340745,7787816.06
2023-08-07,FINNIFTY,74747597,2989903880,5994952.80
2023-08-07,MIDCPNIFTY,709070,53180250,45743.96
2023-08-07,NIFTY,55659671,2782983550,5455404.66
2023-08-08,BANKNIFTY,113694195,1705412925,7685995.41
2023-08-08,FINNIFTY,250634998,10025399920,20134205.59
2023-08-08,MIDCPNIFTY,1826272,136970400,117072.95
2023-08-08,NIFTY,50429495,2521474750,4948008.76
2023-08-09,BANKNIFTY,175470207,2632053105,11805681.65
2023-08-09,FINNIFTY,5898492,235939680,473741.19
2023-08-09,MIDCPNIFTY,56886440,4266483000,3654953.59
2023-08-09,NIFTY,87089888,4354494400,8524713.32
2023-08-10,BANKNIFTY,505074906,7576123590,33870495.27
2023-08-10,FINNIFTY,11522743,460909720,924197.04
2023-08-10,MIDCPNIFTY,274804,20610300,17835.87
2023-08-10,NIFTY,218034151,10901707550,21341327.74
2023-08-11,BANKNIFTY,94375767,1415636505,6316890.57
2023-08-11,FINNIFTY,43430815,1737232600,3457209.68
2023-08-11,MIDCPNIFTY,489126,36684450,31631.48
2023-08-11,NIFTY,48262035,2413101750,4727866.90
2023-08-14,BANKNIFTY,107041533,1605622995,7097412.72
2023-08-14,FINNIFTY,211224068,8448962720,16600269.33
2023-08-14,MIDCPNIFTY,1877518,140813850,120280.16
2023-08-14,NIFTY,64945112,3247255600,6329125.16
2023-08-16,BANKNIFTY,165504949,2482574235,10938135.44
2023-08-16,FINNIFTY,4779326,191173040,374665.02
2023-08-16,MIDCPNIFTY,64147876,4811090700,4125046.23
2023-08-16,NIFTY,86019221,4300961050,8361789.24
2023-08-17,BANKNIFTY,426300962,6394514430,28121665.44
2023-08-17,FINNIFTY,8078545,323141800,633075.89
2023-08-17,MIDCPNIFTY,386245,28968375,25001.36
2023-08-17,NIFTY,173717910,8685895500,16876882.59
2023-08-18,BANKNIFTY,77602031,1164030465,5131166.47
2023-08-18,FINNIFTY,23434513,937380520,1831488.05
2023-08-18,MIDCPNIFTY,2360138,177010350,152135.30
2023-08-18,NIFTY,58695120,2934756000,5690262.30
2023-08-21,BANKNIFTY,88942705,1334140575,5887799.09
2023-08-21,FINNIFTY,52028084,2081123360,4076799.36
2023-08-21,MIDCPNIFTY,50327096,3774532200,3259434.16
2023-08-21,NIFTY,55378608,2768930400,5370348.72
