Date,Symbol,No of Contracts Traded,Traded Quantity,Total Traded Value (Rs. In Crs.)
2016-06-06,NIFTY,942990,70724250,58376.30
2016-06-07,BANKNIFTY,1131276,33947120,60227.05
2016-06-07,NIFTY,1917643,143823225,118968.52
2016-06-08,BANKNIFTY,1039465,31186690,55675.34
2016-06-08,NIFTY,1067992,80099400,66181.64
2016-06-09,BANKNIFTY,2219505,66588280,118970.05
2016-06-09,NIFTY,1540133,115509975,95501.57
2016-06-10,BANKNIFTY,758974,22773800,40745.09
2016-06-10,NIFTY,2493591,187019325,154375.49
2016-06-13,BANKNIFTY,712413,21388940,37920.07
2016-06-13,NIFTY,2212368,165927600,135808.14
2016-06-14,BANKNIFTY,731290,21946920,38734.31
2016-06-14,NIFTY,1824609,136845675,111865.74
2016-06-15,BANKNIFTY,1325385,39779660,70539.42
2016-06-15,NIFTY,1992336,149425200,122805.59
2016-06-16,BANKNIFTY,3183644,95529750,169373.91
2016-06-16,NIFTY,2737621,205321575,168305.84
2016-06-17,BANKNIFTY,637084,19127730,34046.41
2016-06-17,NIFTY,1986149,148961175,122382.50
2016-06-20,BANKNIFTY,854912,25672990,45542.86
2016-06-20,NIFTY,2771741,207880575,171163.94
2016-06-21,BANKNIFTY,778176,23369350,41461.12
2016-06-21,NIFTY,1578326,118374450,97694.68
2016-06-22,BANKNIFTY,1463141,43939460,77712.05
2016-06-22,NIFTY,2003920,150294000,123815.72
2016-06-23,BANKNIFTY,2648907,79563200,141026.12
2016-06-23,NIFTY,2451880,183891000,151339.05
2016-06-24,BANKNIFTY,1088638,32869270,57463.50
2016-06-24,NIFTY,7513237,563492775,456380.35
2016-06-27,BANKNIFTY,823393,24900970,43658.45
2016-06-27,NIFTY,4330832,324812400,263610.45
2016-06-28,BANKNIFTY,775781,23518840,41322.66
2016-06-28,NIFTY,3846105,288457875,234341.38
2016-06-29,BANKNIFTY,1051132,31909910,56255.87
2016-06-29,NIFTY,5081462,381109650,311751.25
2016-06-30,BANKNIFTY,1908358,58434220,104421.84
2016-06-30,NIFTY,8326267,624470025,516052.54
2016-07-01,BANKNIFTY,441259,17650360,31926.05
2016-07-01,NIFTY,1356504,101737800,85277.82
2016-07-04,BANKNIFTY,526249,21049960,38138.08
2016-07-04,NIFTY,1293719,97028925,81558.64
2016-07-05,BANKNIFTY,848391,33935640,61392.63
2016-07-05,NIFTY,1129368,84702600,71137.68
2016-07-07,BANKNIFTY,1839476,73579040,133160.03
2016-07-07,NIFTY,1069946,80245950,67238.44
2016-07-08,BANKNIFTY,637330,25493200,46060.16
2016-07-08,NIFTY,1493528,112014600,93979.65
2016-07-11,BANKNIFTY,763901,30556040,56001.82
2016-07-11,NIFTY,2146702,161002650,135743.58
2016-07-12,BANKNIFTY,1128222,45128880,83726.78
2016-07-12,NIFTY,1690347,126776025,107764.54
2016-07-13,BANKNIFTY,1189249,47569960,88560.10
2016-07-13,NIFTY,1570762,117807150,100712.68
2016-07-14,BANKNIFTY,2575556,103022240,193044.56
2016-07-14,NIFTY,1696826,127261950,108686.71
2016-07-15,BANKNIFTY,763231,30529240,57743.00
2016-07-15,NIFTY,2273873,170540475,146172.20
2016-07-18,BANKNIFTY,1046599,41863960,79767.29
2016-07-18,NIFTY,2241606,168120450,143968.26
2016-07-19,BANKNIFTY,1325649,53025960,100674.52
2016-07-19,NIFTY,2335189,175139175,149555.19
2016-07-20,BANKNIFTY,1215605,48624200,92435.72
2016-07-20,NIFTY,1712901,128467575,110015.99
2016-07-20,NIFTYIT,4,200,0.22
2016-07-21,BANKNIFTY,3292989,131719560,249437.28
2016-07-21,NIFTY,2195991,164699325,141089.01
2016-07-22,BANKNIFTY,788365,31534600,59194.78
2016-07-22,NIFTY,2483029,186227175,159166.62
2016-07-22,NIFTYIT,3,150,0.16
2016-07-25,BANKNIFTY,1138606,45544240,85970.00
2016-07-25,NIFTY,3689834,276737550,237786.09
2016-07-26,BANKNIFTY,1092765,43710600,83099.20
2016-07-26,NIFTY,3368166,252612450,217892.57
2016-07-27,BANKNIFTY,1799590,71983600,136951.05
2016-07-27,NIFTY,5916942,443770650,382656.52
2016-07-28,BANKNIFTY,2291769,91670760,174754.12
2016-07-28,NIFTY,6341702,475627650,410936.58
2016-07-29,BANKNIFTY,542190,21687600,41495.07
2016-07-29,NIFTY,1057832,79337400,69055.14
2016-07-29,NIFTYIT,1,50,0.05
2016-08-01,BANKNIFTY,1194455,47778200,91090.12
2016-08-01,NIFTY,1734524,130089300,113580.78
2016-08-02,BANKNIFTY,1108806,44352240,84146.74
2016-08-02,NIFTY,1452863,108964725,95031.71
2016-08-03,BANKNIFTY,1505385,60215400,113787.28
2016-08-03,NIFTY,1836592,137744400,119842.62
2016-08-04,BANKNIFTY,3551506,142060240,265098.36
2016-08-04,NIFTY,1882378,141178350,122582.01
2016-08-05,BANKNIFTY,649959,25998360,49184.57
2016-08-05,NIFTY,1716554,128741550,111904.40
2016-08-08,BANKNIFTY,527926,21117040,40197.78
2016-08-08,NIFTY,1250685,93801375,81793.57
2016-08-09,BANKNIFTY,1256632,50265280,95631.79
2016-08-09,NIFTY,1970298,147772350,129049.97
2016-08-10,BANKNIFTY,1643151,65726040,124095.29
2016-08-10,NIFTY,2384428,178832100,155641.07
2016-08-11,BANKNIFTY,3263306,130532240,243893.71
2016-08-11,NIFTY,2149103,161182725,139277.35
2016-08-12,BANKNIFTY,916643,36665720,69252.17
2016-08-12,NIFTY,2309277,173195775,149918.23
2016-08-16,BANKNIFTY,1164196,46567840,88471.38
2016-08-16,NIFTY,2359233,176942475,153588.72
2016-08-17,BANKNIFTY,1639662,65586480,124952.16
2016-08-17,NIFTY,2270206,170265450,147660.15
2016-08-18,BANKNIFTY,3362005,134480200,258637.69
2016-08-18,NIFTY,2337367,175302525,152148.19
2016-08-19,BANKNIFTY,797048,31881920,61798.88
2016-08-19,NIFTY,2333789,175034175,152011.29
2016-08-19,NIFTYIT,1,50,0.05
2016-08-22,BANKNIFTY,1036482,41459280,80374.51
2016-08-22,NIFTY,3214933,241119975,209060.54
2016-08-23,BANKNIFTY,1075411,43016440,83126.79
2016-08-23,NIFTY,3474757,260606775,225482.90
2016-08-24,BANKNIFTY,1271660,50866400,98415.71
2016-08-24,NIFTY,3839070,287930250,249611.71
2016-08-25,BANKNIFTY,2111151,84446040,163833.78
2016-08-25,NIFTY,6312474,473435550,410324.24
2016-08-26,BANKNIFTY,814881,32595240,63091.80
2016-08-26,NIFTY,1403042,105228150,91254.14
2016-08-29,BANKNIFTY,1021725,40869000,78771.46
2016-08-29,NIFTY,1292300,96922500,84197.22
2016-08-30,BANKNIFTY,1491699,59667960,115979.02
2016-08-30,NIFTY,1951266,146344950,127763.95
2016-08-31,BANKNIFTY,2384678,95387120,187800.02
2016-08-31,NIFTY,1647837,123587775,108935.94
2016-09-01,BANKNIFTY,3997995,159919800,317082.21
2016-09-01,NIFTY,1289817,96736275,85195.22
2016-09-02,BANKNIFTY,878508,35140320,69850.40
2016-09-02,NIFTY,1101099,82582425,72808.27
2016-09-06,BANKNIFTY,1801262,72050480,145577.93
2016-09-06,NIFTY,1566741,117505575,104164.79
2016-09-07,BANKNIFTY,2875321,115012840,235577.19
2016-09-07,NIFTY,1367242,102543150,91736.85
2016-09-08,BANKNIFTY,3695106,147804240,302033.93
2016-09-08,NIFTY,1157147,86786025,77394.65
2016-09-09,BANKNIFTY,1426631,57065240,116389.98
2016-09-09,NIFTY,1865240,139893000,124822.87
2016-09-12,BANKNIFTY,1586271,63450840,126902.77
2016-09-12,NIFTY,2539486,190461450,168029.63
2016-09-14,BANKNIFTY,2109675,84387000,168361.63
2016-09-14,NIFTY,1629504,122212800,107395.80
2016-09-15,BANKNIFTY,4226391,169055640,336182.11
2016-09-15,NIFTY,1406436,105482700,92531.97
2016-09-16,BANKNIFTY,1786518,71460720,143800.57
2016-09-16,NIFTY,2648694,198652050,175571.87
2016-09-19,BANKNIFTY,916062,36642480,73477.36
2016-09-19,NIFTY,1370945,102820875,90549.29
2016-09-20,BANKNIFTY,873503,34940120,69897.52
2016-09-20,NIFTY,1372523,102939225,90604.15
2016-09-21,BANKNIFTY,1583371,63334840,126420.11
2016-09-21,NIFTY,2074927,155619525,137012.11
2016-09-22,BANKNIFTY,4222926,168917040,339678.09
2016-09-22,NIFTY,2722119,204158925,180470.45
2016-09-23,BANKNIFTY,1064820,42592800,85607.81
2016-09-23,NIFTY,2214634,166097550,147306.65
2016-09-26,BANKNIFTY,1545909,61836360,123063.33
2016-09-26,NIFTY,3484803,261360225,230180.26
2016-09-27,BANKNIFTY,1780441,71217640,140523.57
2016-09-27,NIFTY,3825753,286931475,251455.13
2016-09-28,BANKNIFTY,2069951,82798040,163061.94
2016-09-28,NIFTY,4276777,320758275,281386.01
